Name,Year,Site,Transect,Quadrat,Point,Row,Column,Label,Functional Group
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,1,1056,2631,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,2,1814,3257,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,3,1176,1769,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,4,864,1501,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,5,501,995,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,6,1206,1725,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,7,1920,1326,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,8,1302,2200,VALV,MFL
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,9,1686,2160,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,10,1712,2116,CNA/CC,MCR
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,11,2060,2078,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,12,688,3288,SHAD,TWS
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,13,2699,1258,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,14,1001,2004,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,15,1360,1111,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,16,2418,2278,CNA/CC,MCR
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,17,2220,1357,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,18,1229,2925,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,19,2483,1763,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,20,2408,2664,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,21,2516,1010,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,22,493,2586,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,23,548,2834,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,24,1169,2909,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,25,632,2339,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,26,2650,2391,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,27,1966,2377,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,28,622,1341,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,29,867,1615,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,30,2545,1973,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,31,2002,2468,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,32,1930,2205,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,33,1560,1007,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,34,1668,2409,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,35,1626,2767,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,36,459,1408,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,37,2614,1078,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,38,290,2614,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,39,951,2498,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,40,833,2878,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,41,920,1929,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,42,1859,2029,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,43,2401,2635,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,44,2371,2885,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,45,1420,2902,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,46,995,1133,SHAD,TWS
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,47,1175,2506,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,48,2368,2380,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,49,2354,1216,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,50,2121,1508,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,1,690,2327,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,2,842,875,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,3,999,2033,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,4,294,1737,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,5,2271,1401,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,6,655,2514,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,7,1555,2442,ZOS,ZOANT
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,8,422,1976,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,9,1868,2735,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,10,2081,2125,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,11,352,2841,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,12,727,2410,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,13,1138,2985,ZOS,ZOANT
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,14,1729,1883,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,15,2508,2496,ARC,SUB
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,16,2005,2411,TCC,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,17,2685,2640,ARC,SUB
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,18,2465,2978,ARC,SUB
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,19,1416,2842,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,20,1959,1746,TCC,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,21,2489,1980,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,22,1770,1650,TCC,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,23,2136,1509,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,24,1175,825,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,25,1541,1136,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,26,1674,1215,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,27,977,3150,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,28,1727,2568,ARC,SUB
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,29,2520,1259,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,30,1574,2398,ARC,SUB
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,31,2629,2852,ARC,SUB
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,32,2465,2285,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,33,2154,1044,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,34,428,2413,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,35,2292,2629,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,36,1237,2661,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,37,556,1971,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,38,1252,1181,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,39,1448,1677,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,40,1939,1398,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,41,1547,1322,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,42,1065,1310,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,43,448,3240,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,44,1280,2968,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,45,1827,2887,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,46,2079,2693,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,47,445,2530,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,48,1586,2496,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,49,268,1332,TFL,TURF
AN_2014_fechada_t2_q (1).JPG,2014,Âncoras,2,1,50,971,1712,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,1,1799,2144,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,2,588,1100,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,3,600,1998,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,4,2317,1953,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,5,2411,1426,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,6,2227,1137,TCC,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,7,1795,2692,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,8,1711,908,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,9,2042,2563,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,10,1775,977,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,11,844,2597,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,12,2306,1154,SID,CORAL
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,13,2052,2070,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,14,1078,1868,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,15,2212,1381,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,16,1302,1392,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,17,711,1845,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,18,2501,1200,SID,CORAL
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,19,2223,1633,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,20,1726,3061,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,21,655,2405,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,22,2411,2436,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,23,2461,2706,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,24,2111,1637,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,25,2464,1817,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,26,1674,2907,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,27,2600,1067,SHAD,TWS
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,28,436,2152,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,29,1161,2384,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,30,1697,1553,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,31,1523,1156,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,32,2140,2453,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,33,2148,885,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,34,1191,2302,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,35,1884,1407,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,36,1816,3131,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,37,1042,3041,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,38,506,1011,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,39,2061,2843,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,40,319,1254,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,41,2523,1990,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,42,1738,3148,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,43,1847,2066,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,44,1777,3043,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,45,1674,2847,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,46,1756,1295,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,47,2634,1024,TFL,TURF
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,48,1785,3030,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,49,1815,2443,ARC,SUB
AN_2014_fechada_t2_q (2).JPG,2014,Âncoras,2,2,50,303,1535,ARC,SUB
