Name,Year,Site,Transect,Quadrat,Point,Row,Column,Alleviate level,Label,Functional Group,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,1,1056,2631,100,TFL,TURF,TFL,58,ARC,13,CNA/CC,11,ZOS,6,TCC,5
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,2,1814,3257,100,TFL,TURF,TFL,54,TCC,33,ARC,4,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,3,1176,1769,100,TFL,TURF,TFL,86,ARC,3,TCC,3,ZOS,2,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,4,864,1501,100,ZOS,ZOANT,ZOS,82,TFL,7,ARC,3,TCC,2,CNA/CC,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,5,501,995,100,ZOS,ZOANT,ZOS,60,TFL,29,ARC,3,TCC,3,CNA/CC,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,6,1206,1725,100,TFL,TURF,TFL,65,CNA/CC,14,ARC,9,TCC,4,ZOS,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,7,1920,1326,100,TFL,TURF,TFL,65,CNA/CC,10,TCC,8,ARC,5,ZOS,5
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,8,1302,2200,100,ARC,SUB,ARC,51,TFL,19,CNA/CC,7,TCC,6,SID,4
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,9,1686,2160,100,TCC,TURF,TCC,51,TFL,35,ARC,4,ZOS,3,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,10,1712,2116,100,TFL,TURF,TFL,72,ARC,9,TCC,8,CNA/CC,4,ZOS,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,11,2060,2078,100,TFL,TURF,TFL,83,TCC,5,ARC,4,ZOS,2,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,12,688,3288,100,SHAD,TWS,SHAD,81,TFL,8,TCC,3,ARC,3,CNA/CC,2
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,13,2699,1258,100,TFL,TURF,TFL,51,TCC,32,ARC,4,SHAD,4,CNA/CC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,14,1001,2004,100,TFL,TURF,TFL,77,ZOS,6,TCC,5,ARC,4,CNA/CC,3
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,15,1360,1111,100,TFL,TURF,TFL,77,ARC,9,TCC,5,CNA/CC,3,SHAD,1
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,16,2418,2278,100,TFL,TURF,TFL,73,TCC,14,ARC,4,CNA/CC,3,SHAD,1
