Name,Year,Site,Transect,Quadrat,Point,Row,Column,Label,Functional Group
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,1,1055,2631,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,2,1814,3256,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,3,1176,1768,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,4,863,1501,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,5,500,994,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,6,1205,1724,ARC,SUB
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,7,1919,1326,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,8,1301,2200,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,9,1685,2160,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,10,1712,2115,CNA/CC,MCR
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,11,2060,2078,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,12,687,3288,SHAD,TWS
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,13,2699,1258,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,14,1001,2004,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,15,1359,1110,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,16,2418,2278,CNA/CC,MCR
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,17,2220,1357,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,18,1229,2925,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,19,2483,1763,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,20,2408,2663,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,21,2516,1010,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,22,493,2585,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,23,547,2834,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,24,1168,2908,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,25,632,2339,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,26,2649,2390,TFL,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,27,1966,2377,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,28,621,1341,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,29,867,1615,ARC,SUB
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,30,2545,1972,TCC,TURF
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,31,2002,2467,ZOS,ZOANT
AN_2014_fechada_t2_q (10).JPG,2014,Âncoras,2,10,32,1929,2204,ZOS,ZOANT
